display_order,case_id,sample_slice,conversation_id,tweet_id,created_at,message,prior_context,challenge_flags,intent_label,secondary_intent,handling_label,reason_code,risk_tags,must_include,must_avoid,annotator_id,annotation_notes
96,tesco-70745,natural,70745,70745,Wed Nov 29 20:12:01 +0000 2017,@Tesco do you play football with your shortbread biscuits?! This was exactly how they came out of the packet! <media_or_link>,,image_or_link_dependent;punctuation_heavy,,,,,,,,,
97,tesco-2939802,natural,2939802,2939802,Wed Nov 29 09:11:10 +0000 2017,@Tesco Why would you discontinue such a popular product? That’s an £80 online order cancelled. #hellosainsburys <media_or_link>,,image_or_link_dependent;money,,,,,,,,,
98,tesco-2833771,natural,2833771,2833771,Mon Nov 27 10:21:17 +0000 2017,"@Tesco where is all your #organic produce gone? Apparently your stores have no idea, going back to @sainsburys",,,,,,,,,,,
99,tesco-2489376,challenge,2489379,2489376,Sun Nov 26 19:10:28 +0000 2017,@Tesco I really wanted to order £30. I actually can't order any as it won't let me register my details?,"[Customer] @Tesco Can you only order your gift card in £20's? || [Customer] @Tesco The Dinning out ones? || [Tesco] @customer Hi <name_redacted>, I've checked and they do only seem to be available in £20s. You can order up to £100 online. I hope this helps, Leah.",money,,,,,,,,,
100,tesco-547270,natural,547270,547270,Sat Dec 02 16:27:32 +0000 2017,@customer very disappointed to get home and find my freshly purchased milk is 2 days out of date. Second time ive come home with out of date produce from your store #productrotation not a priority for you? @Tesco <media_or_link>,,food_safety;image_or_link_dependent,,,,,,,,,
101,tesco-583105,natural,583105,583105,Sun Dec 03 11:49:07 +0000 2017,"@Tesco People walking in front of cars, kids swinging and climbing on trolley parks. Terrible planning by you. I only went for the pharmacy!",,,,,,,,,,,
102,tesco-2905888,natural,2905888,2905888,Tue Nov 28 17:02:54 +0000 2017,@Tesco Do Widnes have LEGO Police Station 60141?,,,,,,,,,,,
103,tesco-2822709,natural,2822709,2822709,Sun Nov 26 18:30:36 +0000 2017,"@Tesco Hi, is it right that whenever we book a delivery, you take £2 out of the designated bank account? Seen this several times now? Thanks.",,account_or_order;money;repeated_failure,,,,,,,,,
104,tesco-2865525,natural,2865525,2865525,Mon Nov 27 19:22:53 +0000 2017,@Tesco I just bought this avocado at my local Tesco... disgusting is right word!! <media_or_link>,,image_or_link_dependent;strong_distress,,,,,,,,,
105,tesco-2895435,natural,2895435,2895435,Tue Nov 28 13:40:46 +0000 2017,@Tesco I’ve just received this email and I DEFINITELY haven’t purchased this item...... what’s happened??? <media_or_link>,,image_or_link_dependent;punctuation_heavy,,,,,,,,,
106,tesco-577442,natural,577444,577442,Sat Dec 02 22:44:54 +0000 2017,"@customer Clubcard app already is, would make sense for it to be.",[Customer] @Tesco will TescoPay+ be available for Apple Wallet? || [Customer] @customer Hi <name_redacted>. This is not something we are currently looking into but thank you for your feedback. Thanks,account_or_order,,,,,,,,,
107,tesco-510576,challenge,510575,510576,Fri Dec 01 23:25:02 +0000 2017,"@Tesco Update: an he on the phone (thank you to the staff handling my complaint) but still no resolution. No shopping, it’s handed over to tomorrow duty manager at store to deal with. Don’t hold out much hope for an early morning delivery #nofood","[Customer] This is why I don’t do online shopping, first delivery in ages and @Tesco are late #shouldhaveknownbetter #ineedmybed || [Tesco] @customer Hello <name_redacted>, I am sorry your order was late and I appreciate how disappointing this must be for you. Can you please DM your full name, address and email? I can log your feedback. TY || [Customer] @Tesco Order isn’t late!!!! Has not turned up at all! Am in the phone to custom services atm. No resolution. Tesco has my shopping and my money I am not happy",account_or_order;money;repeated_failure;strong_distress,,,,,,,,,
108,tesco-508905,natural,508905,508905,Fri Dec 01 18:38:53 +0000 2017,@Tesco why are thete no delivery dates for 19th of dec onwards? Are the filled already?! 🤬,,account_or_order;punctuation_heavy,,,,,,,,,
109,tesco-2848277,natural,2848277,2848277,Mon Nov 27 17:38:36 +0000 2017,"Also @Tesco, my cats say thank you for the box (read: I forgot my bags) <media_or_link>",,image_or_link_dependent,,,,,,,,,
110,tesco-2219694,challenge,2219694,2219694,Sun Nov 26 13:39:51 +0000 2017,@Tesco - your kids meals in the cafe are a disgrace. £3 for chicken nuggets and chips is good but you only give three tiny nuggets. Seriously? Company policy apparently... <media_or_link>,,image_or_link_dependent;money,,,,,,,,,
111,tesco-2956325,natural,2956325,2956325,Wed Nov 29 18:33:34 +0000 2017,"@Tesco I would like some advice please! Cut into my green pepper and found a maggot inside! Peppers were only purchased last night from the Horwich store! I am absolutely disgusted, it has now meant I am not eating any of those peppers and it has put me off purchasing in future. <media_or_link>",,food_safety;image_or_link_dependent;injury_or_allergy;punctuation_heavy,,,,,,,,,
112,tesco-2899827,natural,2899827,2899827,Tue Nov 28 15:05:37 +0000 2017,@Tesco Mohammed on checkout 16 at Burnage today has made me come out of twitter retirement! Best customer service in a supermarket ever!,,account_or_order;injury_or_allergy,,,,,,,,,
113,tesco-73791,natural,73791,73791,Thu Nov 30 10:25:53 +0000 2017,"@customer @Tesco how about following suit, #tesco? Supermarkets back plastic bottle refunds <media_or_link>",,image_or_link_dependent;money,,,,,,,,,
114,tesco-2893964,challenge,2893960,2893964,Wed Nov 29 12:39:12 +0000 2017,@Tesco No attempt to keep my custom. Fair enough. Will gladly take it elsewhere.,"[Customer] @Tesco Must admit I didn’t see the price on the shelf. I’d searched your website and had the picture of what I wanted on the phone. Picked it off the shelf and carried on shopping! || [Tesco] @customer Hi there, we regularly check prices so that we can reduce ours or match prices accordingly. Online prices and in store prices may often match but there are occasions when they will differ slightly due to various factors. TY || [Customer] @Tesco I wouldn’t call twice the price varying slightly! I find that reply disappointing. I’ve found it at the cheaper price at one of your competitors where online and shop prices don’t differ, so will get it refunded. || [Tesco] @customer Hi there, if you pop back to store with the item and your receipt, they will be able to refund this for you. The item also has to be in the same condition (with all parts, packaging, tags, etc.) as it was when it was sold. Thanks",context_dependent;money,,,,,,,,,
115,tesco-547256,natural,547260,547256,Sat Dec 02 16:40:54 +0000 2017,@Tesco Literally half of the point of purchasing this item is now gone.(surprise) because of someone within your company simply just being lazy...,"[Customer] @Tesco If you think £10 is some how acceptable for this... then you are crazy, if anything I should have half of my money refunded... <media_or_link>",money,,,,,,,,,
116,tesco-550091,natural,550091,550091,Sat Dec 02 10:05:17 +0000 2017,"Another painful @Tesco delivery. Cancelled delivery I have to pick up. Substitutions, lateness and now this. Not sure what I pay for anymore. #tesco #sainsburys #poorservice",,account_or_order,,,,,,,,,
117,tesco-2965892,natural,2965892,2965892,Wed Nov 29 22:03:56 +0000 2017,The @Tesco food shop went well this evening... 😂🎄👌 (We did end up getting food in the end... Honestly!) <media_or_link>,,image_or_link_dependent,,,,,,,,,
118,tesco-2577726,natural,2577729,2577726,Sun Nov 26 20:24:15 +0000 2017,@customer Cheers. Happened twice now. And only at a specific branch of Tesco. Everywhere else all good.,[Customer] Got charged twice by @Tesco. 1st transaction went thru flashed up on phone as I use @customer. Staff said it didn't work even though I showed proof on my app. No receipt given. £12 out of pocket. Help pls #Tesco <media_or_link> || [Customer] @customer @Tesco @customer It happened to me and the other day and one came back to my account a few days later. No idea why.,account_or_order;money,,,,,,,,,
119,tesco-1053285,natural,1053285,1053285,Sat Mar 25 18:03:14 +0000 2017,"@Tesco please can you enforce the one-way areas of your car park before there is a collision or if not,just scrap them and make them two way",,,,,,,,,,,
120,tesco-2913739,natural,2913739,2913739,Tue Nov 28 20:09:08 +0000 2017,@Tesco when half the pack is rotten 😑 #nothappy <media_or_link>,,food_safety;image_or_link_dependent,,,,,,,,,
121,tesco-97692,natural,97692,97692,Thu Nov 30 15:07:28 +0000 2017,@Tesco can you confirm when your festive food ordering system will be going live please? We're a non delivery saver customer thanks :),,account_or_order,,,,,,,,,
122,tesco-552753,natural,552753,552753,Sat Dec 02 16:21:50 +0000 2017,@Tesco wyd😭😭 <media_or_link>,,image_or_link_dependent;short_message,,,,,,,,,
123,tesco-2844532,natural,2844533,2844532,Mon Nov 27 17:37:13 +0000 2017,@Tesco *cant,"[Customer] @Tesco hi, an item was missing from my click and collect order. Is there anyone I can email about it? I deal with people on the phone today, I am poorly 🤒",account_or_order;short_message,,,,,,,,,
124,tesco-2846417,challenge,2846417,2846417,Sun Nov 26 18:32:54 +0000 2017,@Tesco click and collect? More like click and be told they <name_redacted> to go get your stuff! Just what u want after a long ass day at work!,,account_or_order;punctuation_heavy,,,,,,,,,
125,tesco-584179,natural,584179,584179,Sun Dec 03 13:45:18 +0000 2017,I want to marry the nice welsh man that I just spoke to on the phone from @Tesco. SUCH good customer service and I loved his accent,,,,,,,,,,,
126,tesco-583097,natural,583097,583097,Sun Dec 03 11:56:16 +0000 2017,@Tesco could you send me the Christmas cake recipe that comes on the back of your brandy soaked fruit please? Can’t find it on your site 😓,,,,,,,,,,,
127,tesco-587554,natural,587554,587554,Sun Dec 03 13:24:49 +0000 2017,What time is the coca cola truck at tesco Mansfield till? 4 or 7? 😩 two different websites say different @customer @Tesco,,,,,,,,,,,
128,tesco-590187,natural,590190,590187,Sun Dec 03 16:35:25 +0000 2017,@Tesco @customer Shrivelled luke-warm spud with an after thought of three day old salad. This is legendary 😂 <media_or_link>,"[Customer] 40 minute wait for our order of 1 all day breakfast, 1 jacket potato and 2 kids meals in the café at @Tesco earlier. This was what the all day breakfast looked like. Now, I wasn't expecting anything of @customer quality, but all the same. Hmmn, glaze of lard 😂 <media_or_link>",image_or_link_dependent,,,,,,,,,
129,tesco-2923097,natural,2923097,2923097,Tue Nov 28 18:21:48 +0000 2017,"@Tesco another day, another Tesco van blocking my drive 🤬 sick of it now!",,injury_or_allergy,,,,,,,,,
130,tesco-452145,natural,452145,452145,Thu Nov 30 20:26:02 +0000 2017,"@Tesco Hi there, have you stopped selling Canadian cheddar..? It no longer seems to be stocked by your stretford store... it was the nicest cheese ever! 🧀☹️☹️",,,,,,,,,,,
131,tesco-508884,challenge,508884,508884,Fri Dec 01 21:11:10 +0000 2017,@Tesco our 7ft tree is broken :( there’s some metal in the middle branch connector which links to the top branch meaning we can’t connect it up :( hoping we can replace at our 24 hr Tesco in New Oscott!,,food_safety,,,,,,,,,
132,tesco-2519910,natural,2519913,2519910,Sun Nov 26 19:32:25 +0000 2017,@Tesco I'll give you a clue: there's not enough chicken!,[Customer] @Tesco can you spot the deliberate(?) mistake in this picture? <media_or_link>,,,,,,,,,,
133,tesco-2934029,challenge,2934032,2934029,Wed Nov 29 07:44:18 +0000 2017,@customer @Tesco looks like this finally got fixed but it’s now out of order this morning so no coffee for me again 😩,"[Customer] @Tesco @customer I’ve spent 5 months reporting a machine broken in Tesco Streatham, I have had yet another wasted trip there this morning for coffee. If this machine isn’t being fixed can someone let me know instead of promising it will be fixed ASAP and save me the trip?! || [Customer] @customer Unfortunately the situation is the same. Machine is disconnected due to a services issue. Manager's aware and hoping to resolve it soon-Ella",repeated_failure,,,,,,,,,
134,tesco-461646,natural,461646,461646,Thu Nov 30 19:26:00 +0000 2017,"Do a click and collect with @Tesco, cause lazy, order an Xbox and controller and apparently one parcel is lost. No prizes for guessing which one it is 🤦🏻‍♀️ (it's not the controller).",,account_or_order,,,,,,,,,
135,tesco-2831183,natural,2831183,2831183,Mon Nov 27 08:38:24 +0000 2017,I found a live wasp in my raspberries and all @Tesco have offered is a £1 refund 😂 wow <media_or_link>,,image_or_link_dependent;money,,,,,,,,,
136,tesco-2258735,natural,2258735,2258735,Sun Nov 26 13:57:56 +0000 2017,"Don't usually rant but... believe it or not children have birthday parties in December...like any other month, just because it's the Christmas season it doesn't mean pack away all the kids invitation/thank you cards to make way for Christmas things! @Tesco @customer @sainsburys",,,,,,,,,,,
137,tesco-104151,challenge,104152,104151,Thu Nov 30 18:31:26 +0000 2017,@Tesco Sent 👍👍,"[Customer] @Tesco any idea where my order is?? Was supposed to be ready to collect from Tuesday the 28th Nov... still showing as dispatched. Order No. 4PBN7KMFT || [Tesco] @customer Hi <name_redacted>, thanks for getting in touch. Please can you DM your full name, address, postcode and email address so that I can check our records for you?",context_dependent;repeated_failure;short_message,,,,,,,,,
138,tesco-2912314,natural,2912314,2912314,Tue Nov 28 18:48:53 +0000 2017,@Tesco finest creamy chicken risotto one of the blandest things I’ve ever tasted!,,,,,,,,,,,
139,tesco-481148,challenge,481148,481148,Thu Nov 30 21:23:59 +0000 2017,@Tesco Trying to use some club card vouchers that expire TODAY but computer says no. 😡😡😡 Surely I’ve got til midnight? <media_or_link>,,image_or_link_dependent;money,,,,,,,,,
140,tesco-488913,natural,488913,488913,Fri Dec 01 16:01:26 +0000 2017,"@Tesco click and collect for convenience, a joke, van over an hour late, no notice and with many queuing running out of time before I HAVE to leave #epsomtesco #fuming",,account_or_order,,,,,,,,,
141,tesco-568989,natural,568989,568989,Sat Dec 02 20:08:29 +0000 2017,"Next time I have to remove one of these security tags from a DVD that I have purchased from @Tesco, the manager of said Tesco is going to have to go to hospital to get it surgically removed from his rectum #tesco #shopsecurity <media_or_link>",,image_or_link_dependent;injury_or_allergy,,,,,,,,,
142,tesco-2944940,challenge,2944944,2944940,Wed Nov 29 15:34:21 +0000 2017,@Tesco half one quarter to two,"[Customer] @Tesco you need more staff on your Customer Service / Tobacco Desk, you’ve got people buying cigarettes, returning things and ordering their Christmas food with two members of staff! || [Customer] @Tesco Your store in Princess Road Chelmsford! || [Tesco] @customer Hi <name_redacted>, I'm really sorry about this. I'd like to feed this information back to the store Management. Could you let me know what time you visited the store? Thanks",short_message,,,,,,,,,
143,tesco-537001,natural,537001,537001,Sat Dec 02 12:54:26 +0000 2017,"@Tesco I bought my sons a onesie from store, they removed the labels and tried them on, no good. I still have the receipt and labels, can I return them? Thanks",,repeated_failure,,,,,,,,,
144,tesco-566379,natural,566379,566379,Sat Dec 02 18:54:50 +0000 2017,Thank you @Tesco for our cat pressie in our shopping Bruno loves Christmas we call him Bernard in December! 🎄 #thesantaclause <media_or_link>,,image_or_link_dependent,,,,,,,,,
145,tesco-2825152,natural,2825152,2825152,Sun Nov 26 19:20:44 +0000 2017,"@Tesco very disappointed with your Oldfields rd store Sutton today, there were literally no staff to help, I’ll be avoiding you over Christmas, if that carries on",,,,,,,,,,,
146,tesco-536162,natural,536162,536162,Sat Dec 02 08:49:35 +0000 2017,@Tesco Morning Team. We have been shopping online for a number of years with you. It helps as my wife is severely disabled. Again though we cannot get a near Christmas delivery slot.....when do these go up for grabs generally?,,account_or_order;repeated_failure,,,,,,,,,
147,tesco-579499,natural,579499,579499,Sun Dec 03 08:46:53 +0000 2017,@Tesco I realise 8.45am might not be peak shopping hours at your Airdrie branch but not one till opened? I don’t mind self scanning with a few items but every now and then a little bit of customer service would help! The shop is consistently a joke.,,,,,,,,,,,
148,tesco-2812976,challenge,2812976,2812976,Sun Nov 26 14:01:18 +0000 2017,"@Tesco Hi, could you please tell me why, even though I'm signed up to your Delivery Saver I still have to pay £8 to have my shopping delivered on the 23rd December!! Kind of defects the object of having it don't you think??!",,account_or_order;money;punctuation_heavy;repeated_failure;strong_distress,,,,,,,,,
149,tesco-539286,challenge,539285,539286,Sat Dec 02 23:42:47 +0000 2017,@customer @Tesco @AldiUK My question too.,"[Customer] This is brilliant - are @customer’s @Tesco @customer doing similar? <media_or_link> || [Tesco] @customer Hi <name_redacted>, we're donating £1 from the sale of every fresh turkey this year and we're doing a neighbourhood food collection during December to help within local communities. I hope this helps to reassure you, Leah. || [Customer] @Tesco @customer Genuinely good stuff @Tesco - but what about the surplus food you'll have similarly to @AldiUK - what will you be doing with that?",money;short_message,,,,,,,,,
150,tesco-492486,natural,492486,492486,Fri Dec 01 16:49:30 +0000 2017,Went into Tesco's today to pick up my glasses and there were people collecting for the food bank. I only spent £5 on some tins of soup and stuff but they were so appreciative and it made me feel really good to be able to give something,,food_safety;money,,,,,,,,,
151,tesco-2956338,natural,2956338,2956338,Wed Nov 29 14:49:12 +0000 2017,@Tesco still waiting for my click and collect order to be ready..... from 3pm Tuesday the order email says?!,,account_or_order;repeated_failure,,,,,,,,,
152,tesco-86447,natural,86447,86447,Thu Nov 30 13:12:36 +0000 2017,How is it that shamrock foods can use recyclable plastics but @tesco still cannot? #savetheplanet <media_or_link>,,image_or_link_dependent;repeated_failure,,,,,,,,,
153,tesco-2831178,natural,2831178,2831178,Mon Nov 27 08:41:02 +0000 2017,The 2017 post-excavation course begins today and we’ve already had our first major setback. @Tesco are out of Jaffa Cakes. 😱,,,,,,,,,,,
154,tesco-2861188,natural,2861188,2861188,Mon Nov 27 19:45:05 +0000 2017,@Tesco I found a FROZEN FLY in your frozen minced beef tonight. Makes me queasy. <media_or_link>,,image_or_link_dependent,,,,,,,,,
155,tesco-104179,natural,104179,104179,Thu Nov 30 17:55:00 +0000 2017,Najmłodsi eksperci testują zabawki w @Tesco. Świąteczna kampania sieci | Bądź na bieżąco: <media_or_link> <media_or_link>,,image_or_link_dependent,,,,,,,,,
156,tesco-499299,natural,499299,499299,Fri Dec 01 18:55:26 +0000 2017,"For the first time in my life I am without an Advent calendar to open on the 1st December 😭 forced into adulthood at the age of 22, all because @Tesco were out of stock!",,,,,,,,,,,
157,tesco-10564,natural,10566,10564,Mon Nov 20 16:02:33 +0000 2017,@Tesco Bought one of these and absolutely love it 💕💞,"[Tesco] Some like biscuits from a tin, others prefer them from a musical snow globe. <media_or_link> However you do Christmas, Everyone’s Welcome at Tesco. #EveryonesWelcome <media_or_link>",,,,,,,,,,
158,tesco-470977,challenge,470977,470977,Tue Nov 28 11:56:41 +0000 2017,"@Tesco you’re fab for last minute necessities, but your own range of green tea smells like a farmyard!! 🤢",,strong_distress,,,,,,,,,
159,tesco-2948974,natural,2948974,2948974,Wed Nov 29 15:24:52 +0000 2017,"@Tesco Hi, I wanted to order de-icer on my Grocery order but searched &amp; searched but with no joy - what search term should I insert in the search box? HELP! 😳😳😳 xxx",,,,,,,,,,,
160,tesco-580199,natural,580199,580199,Sun Dec 03 11:51:01 +0000 2017,"A day of baking, can’t think of anything better!😍👌🏻",,,,,,,,,,,
161,tesco-2902767,natural,2902767,2902767,Tue Nov 28 09:00:02 +0000 2017,Good Morning @customer what donations are you looking for this week? I'll make my donation at @Tesco Aberdare.,,,,,,,,,,,
162,tesco-91710,natural,91710,91710,Thu Nov 30 14:43:51 +0000 2017,Howard @Tesco Stockport is the slowest cashier EVER! He seemed genuinely surprised by every single item that appeared on his conveyor belt (which he managed to stop).,,money,,,,,,,,,
163,tesco-538156,natural,538156,538156,Sat Dec 02 13:27:44 +0000 2017,What a disappointment ☹️ didn’t realise this #gluten-free mac &amp; cheese was also dairy free. You cannot make cheese out of coconut oil. Even the cats won’t eat it 😩 @Tesco pls can we have just a gluten free one?? #coeliac <media_or_link>,,image_or_link_dependent,,,,,,,,,
164,tesco-2850028,natural,2850028,2850028,Mon Nov 27 11:53:51 +0000 2017,@Tesco bought a free from loaf to open it up and every single slice can’t be used #dissapointed,,,,,,,,,,,
165,tesco-2825173,challenge,2825173,2825173,Sun Nov 26 20:11:06 +0000 2017,"@Tesco SORT YR PETROL STN OUT ON 7oaks Way, Orpington!!! It’s TRULY DIABOLICAL!! ALWAYS MASSIVE Qs 4 PUMPS AS MOST OF EM DONT WORK&amp; THE Q IN THE SHOP IS UNBELIEVABLE!! IF IT DOESNT IMPROVE, AM GOING2 START A PETITION2 BOYCOTT IT!! DISGRACEFUL 😡😡😡",,punctuation_heavy;strong_distress,,,,,,,,,
166,tesco-2951559,natural,2951559,2951559,Wed Nov 29 17:14:29 +0000 2017,@Tesco have you stopped the free fruit for kids in store? If you have a heads up would have been nice as my 2 year old daughter was not impressed,,,,,,,,,,,
167,tesco-2852985,natural,2852985,2852985,Mon Nov 27 17:05:03 +0000 2017,@Tesco Your self service checkouts need a serious software update particularly with regard Scan and Pack...,,,,,,,,,,,
168,tesco-591623,natural,591623,591623,Sun Dec 03 14:30:13 +0000 2017,@Tesco wrapping my sons presents. Love the personalised paper. His name is Rudi 👍🏼❤️. His sister will be upset. Can you do some Reighgan 🙈😂😂😂😂 <media_or_link>,,image_or_link_dependent,,,,,,,,,
169,tesco-569680,natural,569680,569680,Sat Dec 02 20:27:41 +0000 2017,@Tesco Why did you change the recipe for this? It’s gross now and diner is ruined! :( It was perfect before! <media_or_link>,,image_or_link_dependent;punctuation_heavy,,,,,,,,,
170,tesco-83761,natural,83761,83761,Thu Nov 30 11:40:46 +0000 2017,"@Tesco this is not the first time I have come across a piece of plastic in the Everyday Value Tuna in Brine! Be careful when you chew, people! 😬 <media_or_link>",,context_dependent;image_or_link_dependent,,,,,,,,,
171,tesco-2935496,challenge,2935499,2935496,Wed Nov 29 19:14:03 +0000 2017,@Tesco Dawn from Tesco I don't know what dm is???,"[Customer] @Tesco you have provided worst customer service ever. Delivery is 24hrs late and still no one knows if and when is coming. Shame on you. || [Customer] @Tesco I'd have been surprised if you responded. Why change now eh || [Tesco] @customer Hello, <name_redacted>! I'm so sorry to hear that your delivery is late. I can imagine how disappointing this has been for you, especially if you have heard nothing from us :( Please DM me your order number, full name and address :)",account_or_order;punctuation_heavy;repeated_failure;strong_distress,,,,,,,,,
172,tesco-2880958,challenge,2880958,2880958,Mon Nov 27 21:32:05 +0000 2017,@Tesco shrink their softner bottles from 1.5 to 1.26L but apprently still does 42 washes ... seems rather odd that less liquid apparently does same amount of washes... <media_or_link>,,image_or_link_dependent;repeated_failure,,,,,,,,,
173,tesco-477170,challenge,477171,477170,Fri Dec 01 12:30:47 +0000 2017,@Tesco @customer Thank you Matt. Will do so shortly,"[Customer] Really disappointed in @Tesco who unilaterally cancelled a large Big Red Box food order to be delivered to @customer for their staff Big Red Box day. Informed 5 minutes before delivery was due #woeful #CustomerService || [Tesco] @customer @customer Hi there, I'm so sorry to hear that we've let you down, please can you DM me your name, address, order number and email address so I can take a look at this for you?",account_or_order,,,,,,,,,
174,tesco-83754,natural,83754,83754,Thu Nov 30 12:02:44 +0000 2017,"Hey @tesco - every little bit/fragment of the delivery counts, y'know. Lame service now requires a 7 mile trip to return your busted wares! <media_or_link>",,account_or_order;image_or_link_dependent,,,,,,,,,
175,tesco-139128,natural,139128,139128,Fri Nov 24 10:55:00 +0000 2017,@Tesco tell me you haven’t stopped producing this. No tesco in my vicinity has it anymore. <media_or_link>,,image_or_link_dependent,,,,,,,,,
176,tesco-539279,natural,539279,539279,Sat Dec 02 12:57:21 +0000 2017,"@Tesco it’s a good cake tin, but the apostrofairy has paid you an unwelcome visit.. gateaux (at a push gateaus) def not gateau’s :) <media_or_link>",,context_dependent;image_or_link_dependent,,,,,,,,,
177,tesco-514149,natural,514149,514149,Fri Dec 01 21:37:29 +0000 2017,"I’m so sad @Tesco have sold their opticians to @customer, I moved to Tesco because vision express have the worst customer service I’ve ever come across 😡 off to @customer I go!",,strong_distress,,,,,,,,,
178,tesco-2886992,natural,2886995,2886992,Mon Nov 27 22:04:03 +0000 2017,@customer And tesco paying Temps with prepaid cards which.cost to activate and.cost to use even.though most Temps gave tesco bank details,[Customer] Young man with Asperger's dumped by B&amp;M after 15 hours of free work as campaigners demand end to trial shifts <media_or_link>,,,,,,,,,,
179,tesco-2807471,natural,2807471,2807471,Sun Nov 26 13:09:33 +0000 2017,Getting the @Tesco Christmas Food Delivery Slot you needed! Waking up at 2am wasn’t so bad after all! <media_or_link>,,account_or_order;image_or_link_dependent,,,,,,,,,
180,tesco-468994,challenge,469011,468994,Tue Nov 21 17:10:30 +0000 2017,@Tesco You don't seem to be able to add it to your basket online either :(,"[Tesco] @customer This has resulted in us not having enough stock. This has now been resolved and you should start to see it back on the shelves soon :) 2/2 || [Customer] @Tesco Thank you for looking into it. Hopefully it will be back v soon. It's odd that the employee in store told me something completely different || [Customer] @Tesco Hi. There's STILL no cat litter in store. Help please!! || [Tesco] @customer Hi <name_redacted>, Sorry to hear you've been unable to get cat litter. Can you let me know which store your looking to pick this up from and what cat littler? Thanks",repeated_failure;strong_distress,,,,,,,,,
181,tesco-2939796,natural,2939796,2939796,Wed Nov 29 13:12:27 +0000 2017,"I'm taking the afternoon off to clean the kitchen,and to make a Christmas pudding - looking forward to it",,,,,,,,,,,
182,tesco-585177,natural,585177,585177,Sun Dec 03 12:31:46 +0000 2017,Well done @Tesco almost everyone except Polish people get the Christmas wishes. Or you just implying that poles will understand english language anyways? #DoubleStandards #everyoneisequalbutsomearemoreequalthanothers <media_or_link>,,image_or_link_dependent,,,,,,,,,
183,tesco-514147,natural,514147,514147,Fri Dec 01 18:22:48 +0000 2017,"@Tesco @customer Order Number - 4P8M433NJ Parcel Number - ‍<number_redacted> Ordered 23/11. Scheduled for delivery 27/11. Despite 2 x emails have yet to receive the goods. Please action urgently, delivery tomorrow?? #hackedoff",,account_or_order,,,,,,,,,
184,tesco-543244,natural,543244,543244,Sat Dec 02 14:38:41 +0000 2017,@Tesco Why do you feel the need to put so much palm oil in your products. #savetheforest #forestdestruction #wildlifedying #ethics,,,,,,,,,,,
185,tesco-2520008,natural,2520008,2520008,Sun Nov 26 16:08:26 +0000 2017,"@Tesco hi I was wondering if any of your Glasgow stores will be stocking gluten free puff pastry , thanks",,,,,,,,,,,
186,tesco-674362,natural,674362,674362,Thu Nov 30 20:39:03 +0000 2017,Thank you @Tesco for the free fruit for the kids while we shop. Makes shopping that little bit easier 😊,,,,,,,,,,,
187,tesco-2855849,natural,2855849,2855849,Mon Nov 27 18:15:18 +0000 2017,@Tesco Whatever you have done this year to seal the glitter on your xmas wrapping paper stops the sellotape sticking to it!!! 🤷🏼‍♀️🤦🏼‍♀️ (using 3M tape) #tesco #xmas #wrappingpaper #nonstick <media_or_link>,,image_or_link_dependent;punctuation_heavy;strong_distress,,,,,,,,,
188,tesco-561011,natural,561011,561011,Sat Dec 02 16:19:03 +0000 2017,@Tesco Hi <name_redacted> sent you a direct message if you could help please :-) Thanks,,,,,,,,,,,
189,tesco-66073,challenge,66073,66073,Thu Nov 30 08:32:48 +0000 2017,@Tesco @customer 4yr wedding anniversary today and my wife bought me the classic chocolate pack....1 bar for each year. Open it this morning and 1 bar is missing....my wife didn’t eat it!! 😞😞😞 #dairymilkismyfavourite <media_or_link>,,image_or_link_dependent;strong_distress,,,,,,,,,
190,tesco-1309014,challenge,1309016,1309014,Sat Nov 25 22:50:35 +0000 2017,@Tesco All in all very poor customer service @Tesco,[Customer] @Tesco knightmare today. You phoned 45 minutes befire our delivery today to tell us its cancelled and cant get a delivery. £10 is NOT adequate compensation. || [Tesco] @customer A goodwill gesture by the individual colleague &amp; is not a procedural form of compensation. - Emma 3/3,account_or_order;money,,,,,,,,,
191,tesco-477163,natural,477163,477163,Fri Dec 01 10:37:58 +0000 2017,@Tesco why do you allow customers to get pestered in your stores? I want to go food shopping not paintballing or the gym.,,,,,,,,,,,
192,tesco-555580,natural,555580,555580,Sat Dec 02 19:09:15 +0000 2017,Who knew finding some leggings in @Tesco or @sainsburys would be so hard!! #fuming,,strong_distress,,,,,,,,,
193,tesco-470973,natural,470973,470973,Fri Dec 01 00:42:55 +0000 2017,@Tesco I set up Tesco Pay+ via Tesco Clubcard App at first and £2 is deducted. Later I installed Tesco Pay+ App on my iPhone and another £2 is deducted. Will I get my £4 back? <media_or_link>,,account_or_order;image_or_link_dependent;money,,,,,,,,,
194,tesco-2832248,challenge,2832254,2832248,Mon Nov 27 12:58:46 +0000 2017,@Tesco @customer @customer @customer @customer,"[Customer] @Tesco what a disgrace to see fly tipping at Tesco, princess Alice retail Park Sutton Coldfield. @customer. 2 cats dumped in a box however rescued thank goodness. Tesco please sort this out. @customer <media_or_link>",short_message,,,,,,,,,
195,tesco-2937169,natural,2937169,2937169,Wed Nov 29 08:57:36 +0000 2017,@Tesco delivery worker at Newcastle St James Boulevard store smoking whilst wheeling delivery crates into shop from lorry. Smoke clearly wafting over fresh fruit being delivered.,,account_or_order,,,,,,,,,
