case_id,conversation_id,created_at,message,prior_context,historical_reply,customer_followup,private_handoff_proxy,positive_outcome_proxy,unresolved_outcome_proxy,split,selection_intent
tesco-1747010,1747010,Tue Nov 07 08:06:21 +0000 2017,"@Tesco bought school shoes mid Sept online and all stitching has split,how do I get a refund please?",,"@customer Hi, I am sorry that the stitching on the shoes has split and we would expect them to last longer than this! 1/2 @customer Can you DM us the name and address on your account along with the order number so we can look into this please. TY- Dave 2/2",,True,False,False,train,refund_return_or_exchange
tesco-2138019,2138019,Wed Nov 08 18:32:12 +0000 2017,@Tesco brought this today awful product doesn’t even sit in its stand not happy this being returned tomorrow .. #moneyback <media_or_link>,,"@customer Hi <name_redacted>, I'm sorry to hear you're not happy with this. Can you return this to store with the packaging and your receipt? 1/2 @customer We'll be able to refund or exchange this for you. Thanks - Josh 2/2",,False,False,False,train,refund_return_or_exchange
tesco-1527805,1491941,Fri Nov 03 21:22:36 +0000 2017,@Tesco How would I find some of those details?,"[Customer] I'm really upset because I just went to have some orange juice with bits in and NO JUICY BITS TO BE SEEN ☹️ thanks @Tesco || [Tesco] @customer Are you ok with me passing your details on to our suppliers? Also would you prefer to be refunded via email or via post? Thanks, Calum 4/4",@customer Hi <name_redacted>. The barcode is on the side of the carton. The Supplier code's a 4-6 digit number located next to Tescos address (e.g. SC1234) 1/2 @customer The date code should be on the lid or the neck of the carton. :) - Alisha 2/2,,False,False,False,train,refund_return_or_exchange
tesco-1627334,1627334,Sun Nov 05 13:21:53 +0000 2017,@tesco how do I get a refund on this chicken which has human hair in it? <media_or_link>,,"@customer Hi there, if you return this to either a Extra, Metro or Superstore for this to be investigated further. 1/2 @customer Can you DM us your full name, address, postcode, barcode, SC code, batch code, the price and store bought from so we can log this? - Jay 2/2",,True,False,False,train,refund_return_or_exchange
tesco-2236750,2236752,Fri Nov 10 14:10:25 +0000 2017,"@Tesco Done, thanks 😊","[Customer] @Tesco Everytime I try &amp; log into the clubcard app it doesn’t recognise my number. Its been constantly doing it since I got the contactless clubcard 🤔 || [Tesco] @customer Hi <name_redacted>, I'm sorry that you're having problems accessing your account. Can you please send us a DM with your full name, address and Clubcard number so we can look into this? Thanks, Jessica.","@customer How strange, all your details match. Have you tried deleting and reinstalling the app? Thanks",@Tesco Yeah I have and I’ve reset my password just incase it was that somehow messing it up. Weird! 🤷🏻‍♂️,False,False,False,train,online_account_or_checkout
tesco-1655179,1655179,Sun Nov 05 19:28:36 +0000 2017,@Tesco can you guys do a stick check for me the website tells me there is no Tesco’s around me 😬,,"@customer Hi <name_redacted>, sure! Can you please DM your postcode and the item? We'll happily check this for you :) Thanks",,True,False,False,train,online_account_or_checkout
tesco-1323794,1323794,Sun Oct 15 12:07:46 +0000 2017,"The award for most inaccurate site listings, worst search and worst spellings on a grocery website definitely goes to @Tesco - atrocious!",,"@customer Hi <name_redacted>, please can you let me know the links to the pages for the spelling &amp; also what inaccuracies for site listings. :)","I'll shout them as I see them, @Tesco , but shouldn't it really be your job? 😉 First up: remove the brand Quron from frozen meat free!",False,False,False,train,online_account_or_checkout
tesco-2987659,2987659,Tue Oct 31 18:28:19 +0000 2017,@Tesco the search function on the mobile version of your website isn't working - when will it be fixed? Makes for a difficult shopping exp.,,"@customer Hi <name_redacted>, are you referring the Grocery App. I've just searched using it and it works. What issues are you having?",,False,False,False,train,online_account_or_checkout
tesco-1918594,1918594,Thu Oct 26 11:21:06 +0000 2017,@Tesco App. “Scan voucher at till” it says. “Cannot scan voucher” every self-service till says. How am I supposed to redeem these vouchers? <media_or_link>,,"@customer Hi <name_redacted>, I'm sorry this isn't working. Can you let me know what phone you were using and was the brightness on its highest setting? 1/2 @customer If you can also DM me your name, address and Clubcard number, I will be able to check the voucher. Thanks - Gemma. 2/2 <media_or_link>",,True,False,False,train,online_account_or_checkout
tesco-2205656,2205656,Thu Nov 09 21:48:53 +0000 2017,@Tesco any chance of an update about your grocery website being down??,,@customer Hello <name_redacted>. I am very sorry however we are currently experiencing some issues with our website. We are looking to have these fixed as quickly as possible. TY,,False,False,False,train,online_account_or_checkout
tesco-1876849,1876849,Sun Oct 22 09:18:17 +0000 2017,"@Tesco 3/6 self-checkouts out of service at Chineham, Basingstoke <media_or_link>",,"@customer I'm sorry for the inconvenience caused Donald, please be assured it is within our interest to get these fixed as soon as possible. 1/2 @customer The faults would've been reported to our IT Team and they'll do what they can to have them up and running again. Thanks, Leah. 2/2",,False,False,False,train,online_account_or_checkout
tesco-1932154,1932155,Sat Oct 28 18:07:42 +0000 2017,"@Tesco Sadly not, I just noticed as I got back home. It’s now as useless as those scratch cards I bought!","[Customer] @Tesco your potters bar branch just gave me an old pound coin... <media_or_link> || [Tesco] @customer Hi <name_redacted>, I'm really sorry about this. I appreciate it must be annoying. Did you notice in store and ask them to change it? TY","@customer Oh no, sorry Zac! I was hoping you'd be lucky! I'd advise you to ask at the Customer Service Desk to swap it next time you're in. TY",,False,False,False,train,online_account_or_checkout
tesco-930911,930913,Sun Oct 22 14:24:49 +0000 2017,@Tesco And today it's still not fixed. Absolutely disgusting.,"[Customer] @Tesco Your ""Worcester 2"" branch stinks like a blocked drain. Vile stench. Going elsewhere. || [Tesco] @customer Hi <name_redacted>, I can confirm that management in store are aware of this issue and it has been reported as appropriate. Many thanks","@customer Hi <name_redacted>, it's been reported. They're waiting for this to be fixed &amp; addressed",@Tesco *Still* this hasn't been resolved. Can't the mighty Tesco help their store team it and put some weight behind it?,False,True,True,train,online_account_or_checkout
tesco-1296341,1296341,Thu Oct 26 15:22:46 +0000 2017,"@Tesco Hi, is there a glitch on your site at the moment as can't appear to pay for my groceries with either card? ;(",,"@customer Hi <name_redacted>, I'm sorry you were having difficulties paying for your order this afternoon 1/3 @customer I appreciate this must have been frustrating. Can you please let me know whether you managed to checkout after? 2/3 @customer If you're still experiencing problems can you please try clearing the cache &amp; cookies on your device? Thank you - Aneurin 3/3","@Tesco Hi, thank you very much for your advice, pleased to say this has been successful :)",False,True,False,train,online_account_or_checkout
tesco-1584769,1584771,Sun Nov 05 12:10:17 +0000 2017,@Tesco I’ve just done that for you. Thanks so much for your help.,"[Customer] @Tesco I also have my receipt which can give you some more info perhaps too. || [Tesco] @customer Yes please, can I have a picture of your full receipt and the back of that voucher? Also you used the specific diesel yes? :) - Mart <media_or_link> || [Customer] @Tesco As far as I know yes and like I said before, it was taken last time I went and filled up. But regardless, she was still rude and abrupt. <media_or_link> || [Tesco] @customer I will arrange to get the points added manually on your account for you. Hope to hear from you soon. Kind regards - Lara. 4/4 <media_or_link>",@customer Hi <name_redacted>. I've replied to your DM. Thanks,,True,False,False,train,online_account_or_checkout
tesco-980979,980979,Fri Oct 13 18:32:25 +0000 2017,"New Clubcard is butt, the self service checkouts won't read the little QR code very easily. Last five trips to Tesco: its only worked once",,"@customer Hi there, are you using the vertical scanners when you are at the self service? Kind regards",@Tesco Yup the scanner for my the groceries,False,False,False,train,online_account_or_checkout
tesco-2031073,2031073,Tue Nov 07 09:31:04 +0000 2017,@Tesco pisstake. Brought a sit me up ring in the 3 for 2. returned it asked for store a credit to replace it and got £1!!! Annoyed!!!!!,,"@customer Hi <name_redacted>, I am sorry for any disappointment this has caused. please could you advise why the exchange was needed and what they advised?",@Tesco Sent a direct message :),False,False,False,train,store_or_staff_experience
tesco-1269621,1269621,Thu Oct 26 09:59:47 +0000 2017,@tesco There are still 3 trolleys abandoned in netherwood road London w14,,"@customer Hi <name_redacted>, I've reported this to our abandoned trolley team. Thank you for reporting this. These'll be collected in the next 48 hours. Ian",@Tesco Thnx. Your recommended app Trolleywise no longer works on IOS,False,False,False,train,store_or_staff_experience
tesco-2508637,2508638,Wed Nov 15 22:09:27 +0000 2017,"@Tesco Norwich Magdalen Road Express. I'm so fed up with having the same plain cheesecakes, salted caramel and frangipane available. Raspberry and Prosecco cheesecake doesn't count when its 85% vanilla.","[Customer] @Tesco Local store always sells out of tesco finest chocolate desserts, the non-chocolate &amp; caramel stuff is always over stocked. 4 out of 5 trips end in failure it's so frustrating. Took this in August, could've taken it this week. <media_or_link> || [Tesco] @customer Hi <name_redacted>, I'd like to look into this further for you. Please can you tell us the exact store you visited? We can then have this looked into with the Management Team. Thanks","@customer Hi <name_redacted>. I'm sorry, but it seems that our Finest chocolate deserts are no longer stocked in this store. However if you DM me your full name and email address I can log your interest in this product coming back. Thank you.","@Tesco Crazy those were the only ones that seemed to move of shelves. Lol that was pretty much my only reason for going there! The fruit &amp;veg is lousy, there's no cherry coke, wenslydale or chocolate cornflake cake tubs.",True,False,False,train,store_or_staff_experience
tesco-924922,924927,Sat Oct 14 10:04:03 +0000 2017,@Tesco My name is Sarah Giles. Have sent my address via DM. Sadly my daughter's don't like star wars!,"[Customer] Hey @Tesco it's 2017, NOT A SINGLE FEMALE CHARATER?? Wonder woman? Gamora? Nebula? Scarlet witch? Black widow? WTF!!! <media_or_link> || [Tesco] @customer Hi <name_redacted>, sorry to hear this. Can you confirm which store this is please? Ty, Andy || [Customer] @Tesco Hednesford. Do any stores stock the female characters or have they just been ignored as usual? || [Tesco] @customer I look forward to your response. Thanks - Chris 2/2 <media_or_link>",@customer Thanks again Sarah for the feedback. -Marian,,False,False,False,train,store_or_staff_experience
tesco-850216,850233,Thu Oct 19 21:56:32 +0000 2017,@Tesco Get him earning his dinner. Good plan! Does tesco sell headlamps do you know?,"[Customer] @Tesco Anyway, I thought children were to bring us toilet rolls when we’ve ran out and fetch snacks?! || [Tesco] @customer Best not Charlotte, he might not like it. Chris || [Customer] @Tesco Spoil sports! || [Tesco] @customer Hey <name_redacted>, I disagree with Chris, get the young lad a head lamp and get him in the recycling bin for this packaging! TY","@customer Hi <name_redacted>, our Partners may sell them via our Tesco Direct website. :-) Chris","@Tesco Hi again, I’ve got the other plasters from the pack if that helps. They’ve got a ‘lot number’ on them.",False,False,True,train,store_or_staff_experience
tesco-2487618,2487618,Wed Nov 15 16:25:49 +0000 2017,@Tesco just bought this PlayStation from one of your stores and there is nothing inside the box apart from wires. Any help? <media_or_link>,,@customer How strange! You will need to return the box to the store with your receipt for a full investigation to take place. TY,,False,False,False,train,store_or_staff_experience
tesco-767201,767199,Sun Oct 29 10:32:48 +0000 2017,@Tesco Either Tesco in Newcastle County Down or the Tesco in Newry,"[Customer] @Tesco Can I buy the new COD WWII in store at midnight on the day of release? Are any stores opening for a midnight release? || [Tesco] @customer Hi <name_redacted>, thanks for getting in contact with us. Could you let us know which store you're looking to buy from? 1/2","@customer We can't check for you here Deane, our colleagues @customer are able to do so though. Send them a tweet. Thanks, Leah.",@Tesco @customer Even though both stores are in Northern Ireland?,False,False,False,train,store_or_staff_experience
tesco-1088904,1088911,Tue Nov 07 21:12:16 +0000 2017,"@Tesco thanks for the reply, I just sent another question regarding the issue with available balance I forgot to ask","[Customer] @Tesco Used* || [Tesco] @customer Hi <name_redacted>, I'm glad there wasn't too much of a delay for you. Could you DM your full name, address &amp; postcode so we can log this? TY || [Customer] @Tesco to be honest i wasn't personally effected, its just I felt sorry for the people with over 30 trolleys full waiting in the one queue || [Tesco] @customer Hi <name_redacted>, Thanks for getting in contact regarding this issue. If there is anything else I can help you with please get back to us. TY-Lee","@customer Hi <name_redacted>, one of my colleagues will reply to your message. TY",@Tesco Apologies that last tweet was for tesco bank help,False,False,False,train,store_or_staff_experience
tesco-1063252,1063250,Mon Oct 23 15:26:26 +0000 2017,@Tesco It’s this one... <media_or_link>,"[Customer] @Tesco Why is this often the case in your Acton store? It’s bloody ridiculous! #SainsburysWeGo <media_or_link> || [Tesco] @customer Hi <name_redacted>, can I ask which Acton store this is? Thanks- Beth || [Customer] @Tesco Acton Heights, it happens all of the time. As well as the fact that the additional 6 self service tills which were added are always off too! || [Tesco] @customer Hi <name_redacted>, can you confirm that this is the Express store on Umbridge Rd? TY","@customer Hi <name_redacted>, I'm sorry to see this I am waiting for a response from the store as soon as I have it I will get right back too you. TY - Natalie","@Tesco Thanks, it will be interesting to find out what the problem is.",False,True,False,train,store_or_staff_experience
tesco-1851528,1851532,Thu Oct 19 11:15:59 +0000 2017,"@Tesco Thanks. I wasn't very impressed that when pointed out to a member of staff, he said it doesn't matter cause people get what it means.","[Customer] Good to see @Tesco take lots of care with their customer notices. #effectnotaffect #fullofmistakes #proofreadingproblems <media_or_link> || [Tesco] @customer Hi there, sorry to see that this has been put up and has mistakes on it. Can you let me know which store this was? Thanks || [Customer] @Tesco Kingsway dundee. || [Tesco] @customer Hi there. I've fed this back to the store so the sign can be corrected. If there's anything else we can help with, please let me know. Rhys","@customer Hi, I completely understand your feelings towards this. The management team will now take the necessary steps to resolve this. Ty -Darren",,False,False,False,train,store_or_staff_experience
tesco-1714880,1714881,Tue Oct 17 18:01:44 +0000 2017,@Tesco 🙊 It was in Hove.,"[Customer] Found in the Mexican aisle at @tesco. Guess they missed Peruvians aren't Mexican? <media_or_link> || [Tesco] @customer Hi <name_redacted>, I think some of my colleagues may need a geography lesson. Can you please confirm what store this was?","@customer Hi <name_redacted>, I have contacted the store and they are going to get this moved :) Thanks for pointing it out to us.","@Tesco As a Peruvian living in the UK, I thank you muchly.",False,True,False,train,store_or_staff_experience
tesco-1635913,1635915,Sun Nov 05 12:04:12 +0000 2017,"@Tesco Thanks Josh, ended up using some pliers instead had to wait 10 minutes for it to come out of the warehouse","[Customer] @tesco Bought a bottle of Cardhu from Trowbridge Extra as birthday present, it still had security device attached on the bottle! || [Tesco] @customer Hi <name_redacted>, I'm sorry about that! If you can return to the store you bought this from with the receipt, they'll be able to remove this.","@customer Ah ok, well let us know if you need anything else.",,False,False,False,train,store_or_staff_experience
tesco-1008595,1008602,Sun Oct 22 17:33:19 +0000 2017,@customer @Tesco Before u bother come and taste one trust me,[Customer] These cookies from @Tesco are shut. Nearly broke my teeth they're that hard || [Customer] @customer @Tesco If they’re the ones i think they are i will slap you😂 || [Customer] @customer @Tesco Mate they taste like bricks || [Customer] @customer @Tesco I will come for you😂,"@customer Hi <name_redacted>, I'm sorry to learn about this issue with your cookies. I would like to get this logged and get you a full refund. 1/4 @customer To do this can you please DM me your Name, Address, Postcode, Barcode, Supplier code, Batch code and a photo of your full receipt. 2/4 @customer Then once I get your details I'll get this logged and that refund sent out. 3/4 @customer Lastly do you mind if we pass your details onto our suppliers? Thanks - Callum 4/4",,True,False,False,train,product_information
tesco-786898,786898,Thu Oct 12 09:33:53 +0000 2017,@Tesco could you tell me if this peanut butter is gluten free ? Thank you <media_or_link>,,"@customer Hi Rachael; leave this with me, I'm checking with our suppliers and I'll happily contact you back :)",@Tesco Thank you 🙂 look forward to hearing back from you soon,False,True,False,train,product_information
tesco-1357416,1357416,Fri Oct 27 18:14:18 +0000 2017,Really disappointed with my #organic #steak from @Tesco mostly fat although cleverly packaged to disguise it #inedible #tesco #poorquality <media_or_link>,,"@customer Hi <name_redacted>, I'm so sorry our steak wasn't of a good quality. I can understand your frustration as I'm a big fan as well. 1/4 @customer Can you please DM me your full name, address, email, barcode, supplier code and also a clear copy of your receipt? 2/4 @customer I'll then be able to refund you. Can I also ask for your permission to pass on your details to our supplier please? 3/4 @customer Can you please let me know if you would rather a refund through the post or to your email? TY - Mark 4/4",,True,False,False,train,product_information
tesco-2177036,2177040,Thu Nov 09 13:20:47 +0000 2017,@Tesco HI IS THIS VEGAN FRIENDLY I WOULD LIKE ALL OF THAT FOR MYSELF THANKS,"[Tesco] For those who prefer their beef wellington without the beef. However you do Christmas, Everyone's Welcome at Tesco. #EveryonesWelcome <media_or_link>","@customer The Tesco Portobello Mushroom Wellington contains milk so isn't Vegan friendly but is suitable for vegetarians. Thanks, Leah.",@Tesco Might need to rethink your hashtag then!,False,False,False,train,product_information
tesco-2255066,2255068,Fri Nov 10 21:59:15 +0000 2017,@Tesco <media_or_link>,"[Customer] @customer @Tesco I bought this pie today from Bursledon, Hants branch and it has no filling! <media_or_link> || [Tesco] @customer Can you also send a clear picture of the front /back of the packaging please? 2/4","@customer Hi <name_redacted>, thanks for sending those details. I'll just nee you to DM your name, address and email in order to proceed. Thanks - Dafydd <media_or_link>",,True,False,False,train,product_information
tesco-1311414,1311414,Sat Nov 04 15:16:56 +0000 2017,@Tesco giving the quite clearly vegetarian customer 72 chicken nuggets must be some kind of poor tasting joke!! <media_or_link>,,"@customer Sorry about that, did you refuse this and send them back with the driver? Are you aware you can add notes to say you're a vegetarian? :)",@Tesco Yeah your staff were very accommodating and I got my cauliflower cheese grills 👍,False,False,False,train,product_information
tesco-858146,858146,Thu Oct 19 19:20:41 +0000 2017,Hi @Tesco have you got rid of dried gnocchi in Shepton Mallet? Could only find fresh and oddly enough it’s not as good as the dried stuff for oven cooking. #wheresthegnocchi?,,"@customer Hi there, I'm currently checking this out for you, once I get an answer I will get back to you. - Beth :) @customer Hi there, this item is stocked in some stores however, is no longer and will no longer be stocked in this store. 1/2 @customer You are more than welcome to speak to the store directly about this to see if they can restock for you :) - Beth 2/2",@Tesco Aaaaaghhhh no :-). OK thanks for checking,False,True,False,train,product_information
tesco-1860719,1860719,Thu Oct 19 14:26:33 +0000 2017,**Ridiculous packaging klaxon** @Tesco <media_or_link>,,"@customer Hi. Thanks for getting in touch. I'm really sorry, while your product looks very safe in there I do think that looks a little excessive. 1/2 @customer If you can please DM me your full name, order number home, address and post code I'm happy to feed this back for you. Cheers",@Tesco Sliding into your DM’s right now Billy <media_or_link>,True,False,False,train,product_information
tesco-2220547,2220547,Fri Nov 10 10:30:00 +0000 2017,Good morning @Tesco please could you let me know what vegan wines you have. It's very difficult as they don't carry ingredients etc. Many thanks,,"@customer Hi <name_redacted>, Would you like to know about red, white or rose wine? Kind Regards",@Tesco Pinot Grigio (italian) preferably 😊,False,False,False,train,product_information
tesco-1609173,1609177,Tue Oct 17 11:11:15 +0000 2017,"@Tesco Cheers, though believe it or not I do actually have a few recipes up my sleeve already.",[Customer] Up next is chocolate and beetroot cake. After I do the dishes that is. Always surprised by how many dishes I can generate on a baking day. || [Tesco] @customer Yum! Will that be the last bake of the day? Or is there more? || [Customer] @Tesco Depends on how many loads of dishes I can be bothered doing I suppose. But I do have a hankering for chocolate chip oatmeal cookies 🍪 || [Tesco] @customer 😂😂 These are a nice twist on that idea.. #EveryLittleHelps <media_or_link>,@customer Fab 😊 Have a great Buffy baking day!,,False,False,False,train,product_information
tesco-1374651,1374651,Fri Oct 27 21:24:53 +0000 2017,"My @Tesco Smoked Streaky Bacon is supposed to contain 16 rashers. This is only 8. Tbh, I don’t need 16 but the packing shouldn’t be wrong 🥓 <media_or_link>",,"@customer Hi <name_redacted>, thanks for getting in touch. Just to confirm the picture you've provided is for Morrisons bacon? TY",@Tesco Lol oopsie ☺️,False,False,False,train,product_information
tesco-1970731,1970730,Wed Oct 18 17:45:55 +0000 2017,@Tesco Banana cupcakes btw 😋,"[Customer] What thickening agent can i use when making a gluten free cake?Do i sub with corn flour (ff),suggestions please? #thegirlgang #glutenfree || [Tesco] @customer What kind of cake are you making? This recipe might help! #EveryLittleHelps <media_or_link> || [Customer] @Tesco Thank you @Tesco 😉👌🏻","@customer Sounds lush! Let us know how you get on, hope it's a success!",,False,False,False,train,product_information
tesco-1347886,1347886,Fri Oct 27 15:33:56 +0000 2017,"Good afternoon @Tesco, could you give Thornbury as heads up for Monday please? Thanks",,"@customer Hi, I have passed this on to our store. Hope all goes well for you :). Thanks",,False,False,False,train,feedback_praise_or_suggestion
tesco-1484336,1484336,Mon Oct 16 19:12:53 +0000 2017,Found this lovely creature in my punnet of grapes @Tesco - came all the way from #Greece she was fine after a little TLC <media_or_link>,,"@customer Hi <name_redacted>, I'm sorry to hear if this was the case, I would need you to return back to a Superstore, extra or metro.1/2 @customer Then we can fully investigate this. Regards, Andy 2/2",,False,False,False,train,feedback_praise_or_suggestion
tesco-12634,12637,Thu Oct 26 07:01:56 +0000 2017,@Tesco I think someone forgot the gravy!!,[Customer] Thank you @Tesco for the half a tin of dog food! 😳 <media_or_link>,"@customer Hi <name_redacted>, I'm sorry I don't know how this could have happened. Can you DM us some more pics of the labeling including batch &amp; SC code 1/3 @customer Also, your name, address, including post code, email address and let me know if you would prefer digital or postal refund. 2/3 @customer Lastly, are you happy for me to pass your details on to our supplier in case they wish to contact you? TY - Brian 3/3",@Tesco I’ve binned all of the packaging now!,True,False,False,train,feedback_praise_or_suggestion
tesco-1797135,1797135,Fri Oct 13 18:44:26 +0000 2017,Just love going to @customer after a long day to be patronized and made to feel small by one of their employee's @Tesco #disgraceful,,"@customer Hi <name_redacted>, I'm sorry to hear you've had this experience in one of our stores! Are you able to drop us a DM with details of what happened? TY",,True,False,False,train,feedback_praise_or_suggestion
tesco-1094589,1094589,Fri Oct 13 19:21:42 +0000 2017,"Bargain hunt up @Tesco Congleton tonight. Bread at 16p a loaf, could fill your house!!! Amazing. Well done Tesco. Every Little Helps...Zzz!",,"@customer Hi <name_redacted>, I'm glad you can get so much bread. Definitely time to stock up on bread. TY",,False,False,False,train,feedback_praise_or_suggestion
tesco-910755,910755,Fri Oct 13 18:16:07 +0000 2017,@Tesco car now stinks thanks to 4 pints of milk leaking all over the passenger footwell 😡,,"@customer Hi <name_redacted>, I'm sorry to hear that this has happened. Can you return to your closest store at your own convenience? 1/3 @customer My colleagues there will fill out the vehicle damage report which will be sent to our specialist team, you will hear back within 14 days.2/3 @customer I hope this helps and if you have any further questions, don't hesitate to get in touch. TY - Reece 3/3",@Tesco It’s getting taken to a professional car cleaner this morning to be cleaned. I assume I can go after this?,False,False,False,train,feedback_praise_or_suggestion
tesco-1092417,1092417,Sat Oct 14 11:07:17 +0000 2017,@Tesco Just wondering...is this competition with Monarch still running? 🤔 Thanks x <media_or_link>,,@customer We are pleased to say that the competition is still running Sara. Flights will now be booked and paid for by Tesco Stores LTD.,@Tesco Great! Thank you for getting back to me. My entry is in 😀 x,False,True,False,train,feedback_praise_or_suggestion
tesco-1722051,1722051,Tue Oct 17 17:54:10 +0000 2017,"A lovely welcome at @Tesco Ashford, Middlesex this evening. Overflowing drains and the smell of human excrement outside the entrance",,"@customer Hi <name_redacted>, I am very sorry to learn that yo had unpleasant experience in the store. 1/3 @customer Could you please confirm which store in Ashford? Is it the one on the Church road or in Town Lane? 2/3 @customer I will have a look into this. TY - Eve 3/3","@Tesco Hi, yes the large store on Town Lane next to hospital... I feel quite nauseous now.",False,False,False,train,feedback_praise_or_suggestion
tesco-2005309,2005309,Wed Oct 18 17:09:31 +0000 2017,"@Tesco your profiling needs finessing! Thanks for free chicken tray bakes, but my history shows a distinct lack of carnivorous purchases?",,"@customer Hi <name_redacted>, I'm sorry we've sent chicken with your order. I appreciate this must have been disappointing 1/3 @customer I'd like to make sure this is noted for future reference to ensure this doesn't happen again 2/3 @customer In order for me to do so can you please DM your full name, full address and email address? Thank you - Aneurin 3/3",,True,False,False,train,feedback_praise_or_suggestion
tesco-742808,742813,Wed Oct 11 19:03:51 +0000 2017,@Tesco #YouLoveMeMore #VeryLoyalCustomer,[Customer] @Tesco And when my scales break from all those extra lb's who do I blame?? 🤔 || [Tesco] @customer Blame the scales! They'll never know how delicious food is. All they do is judge. #StopTheScales. || [Customer] @Tesco #NaughtyTesco || [Tesco] @customer #YouLoveUsReally #LoveAllRound #Let'sStopHashtaggingIt'sNot2012,@customer #WeAppreciateYouSoph #HappyToBeYourSupermarket #EveryLittleHelps.,,False,False,False,train,feedback_praise_or_suggestion
tesco-955545,955545,Wed Oct 11 11:57:33 +0000 2017,Thank you @Tesco Welling and Suzanne! Year Two loved the farm to fork workshop and learning about healthy eating. <media_or_link>,,@customer Everyone looked like they had a fantastic time! Thanks for sharing 😊,,False,False,False,train,feedback_praise_or_suggestion
tesco-2220652,2220654,Fri Nov 10 09:51:47 +0000 2017,"@Tesco Thanks, unfortunately, having started on a high with Tesco Jalapeno Chilli 3 Cheese Bloomer for breakfast it's downhill from here #tfifriday","[Customer] @Tesco Congratulations on the Tesco Jalapeño Chilli 3 Cheese Bloomer, I can only aliken its invention to that of the lightbulb #puregenius || [Tesco] @customer Morning <name_redacted> :) I'm glad you;re a fan! Thanks for your feedback, it's really beneficial for us to receive :) I hope you have a great day","@customer Hi <name_redacted>, I am sorry to hear that your Friday is going downhill, is there anything I can help you with. TY",,False,False,False,train,feedback_praise_or_suggestion
tesco-1128911,1128911,Sat Oct 14 12:32:32 +0000 2017,Hi @Tesco do you use your leftover lettuce to make your prepared salads? 🤢 <media_or_link>,,"@customer Hi, <name_redacted> I’m sorry to learn that the salad you've purchased isn’t up to the standards we expect. I would like to look into this for you.1/3 @customer Can you DM me a few details. Can you confirm your name, full address, barcode, expiry date area and photo of the receipt? 2/3 @customer Can I confirm that you are happy for me to pass on your details to our supplier? Thanks – Lee 3/3",,True,False,False,train,other_or_unclear
tesco-1960967,1960967,Mon Oct 30 20:31:49 +0000 2017,@Tesco is this your new way of creating more revenue by packing 151g (16%) less chicken into the packets? Disgraceful! <media_or_link>,,"@customer Hi <name_redacted>, I'm really sorry you are unhappy with our packaging. I can understand your concerns. 1/3 @customer I would to log your feedback internally for review. So I can do this can you please DM me your full name, address and email? 2/3 @customer Can I also ask for a clear photo of the product packaging? I'll then log this accordingly. Thanks - Mark 3/3",,True,False,False,train,other_or_unclear
tesco-2253242,2253242,Fri Nov 10 17:06:36 +0000 2017,@Tesco that moment when you are putting up your new tree and the middle stem is full of rivets so the top tier can't go on 😖😖😖 <media_or_link>,,"@customer Hi <name_redacted>, I'm really sorry your new tree won't go up properly and I can understand your disappointment. If you return it to store then I'm sure my colleagues on the Customer Service Desk will be able to help you. Thanks",,False,False,False,train,other_or_unclear
tesco-1935246,1935246,Sat Oct 28 20:05:23 +0000 2017,@Tesco how rubbish are these !! The cones are soft and half the ice cream is missing 😏 <media_or_link>,,"@customer I'm sorry about that Kirsty. :( If you can DM me your full name, address, email address &amp; picture of your receipt, I'll reimburse you. TY <media_or_link>",,True,False,False,train,other_or_unclear
tesco-2456491,2456491,Tue Nov 14 22:54:46 +0000 2017,"Bit disappointed @Tesco....bought this bunch of alstromeria earlier. They were reduced as they had reached their display until date but looked ok. When I unwrapped them to put them in the vase, there were a lot of dead/broken off/rotting flowers and stems 😞 #halfemptyvase <media_or_link>",,"@customer I'm sorry to see the flowers you purchased from us was of poor quality. I can understand your concerns. I would like to issue a refund for you. Can you DM some information? 1/2 <media_or_link> @customer Your full name, address, email address, barcode, price paid, date code and clear copy of your receipt? Also the supplier code(SC)? Would you prefer your refund via the post or email? TY - Jayne 2/2",,True,False,False,train,other_or_unclear
tesco-1449864,1449864,Mon Oct 16 18:30:06 +0000 2017,@Tesco not sure the top sausage could be classed as a cocktail one?!! 😂 <media_or_link>,,"@customer Hi <name_redacted>, wow, I feel bad for the others, hes impressive. 1/5 @customer If you'd like me to log this and feed it back I am more than happy to do so? :) 2/5 @customer I would need you to DM me with your name, address and post code, as well as a picture of your receipt. 3/5 @customer If you could also include the supplier code (SC) and the barcode number that would be helpful. 4/5 @customer Lastly, can I have your permission to share your details with the supplier? So that this may be properly logged. Thanks, Mike. 5/5",,True,False,False,train,other_or_unclear
tesco-1272553,1272553,Fri Oct 13 12:52:39 +0000 2017,There’s an empty can in my multipack 😩 @Tesco #23forthepriceof24 #cannedoff <media_or_link>,,"@customer Hi <name_redacted>. Sorry to see you missing out on a can. Could you DM me some detail so I can sort this? 1/2 @customer I will need the barcode, store you visited and an image of the receipt. Thanks. Ian 2/2",,True,False,False,train,other_or_unclear
